address,tokens
0xa0f75491720835b36edC92D06DDc468D201e9b73,9749686.003287061223247467
0x28d804Bf2212E220BC2B7B6252993Db8286dF07f,1344238.68647478240512482
0x2C18c9B00b4B3F5240c72513eDB778d6f7e2E65a,1334108.849354363658021531
0xaC888C754546ea45b168FBFa605253DEB25A3879,1214157.080516974267847748
0xeE8Ad6769fe89eCb8fee0D981ad709E08E6D1C06,1048375.524007111280262325
0x6F57f7b099FE5553198fdb67A74A4f90902C67c8,955001.029941354896533184
0x7939001612795afA125A245E1683F8559c7f8db1,918822.413338184123945784
0xbdA6Ba3Ad624582495C55451A1840e563fc16389,705569.586615522047380021
0x6595732468A241312bc307F327bA0D64F02b3c20,690971.628470333701706923
0x923B167e3026869c15FBCf2E82e4429e4DC97cbB,662300.548152495808550053
0x3A567303B207c6D906A8FCc380a2c307EcE7051D,583284.942634053759389636
0x42D2184dac8580e6224b361A36CA3a917F7EA67b,552150.941532544497631937
0xA7b12101Ac438206B87Dca404Af4456A7F141e17,551917.572716905816529925
0x3228cF25a6FB2c73De43aA2466BD97750CF88860,484661.095269790115950342
0xD85A7A3C5F08E3E709c233E133cE1335fBbF5518,458996.884269530288947772
0x6c74DC9353276A2CE6E624D180A4Bbca0D10c1d3,457658.853119036610080456
0x3078F22015436d621062f7CC8334774EB5685E97,423546.842687701782670368
0x35da3d2F891bA64E6fc625a1ff2B1074c41f5559,411087.536184064002653067
0x1333c53A798547126Ca04647BA925485A6FA7Aad,379105.056213294770611609
0x6B31Eb29EedeAd4aB79020C5C0580d2a45ef0cfb,356241.142109493771666326
0xA0517FC6141520ea2171f6df7FA2Faff59c64241,353288.497532282450526085
0x6f58D7974e5143a33769Dc644cbA05455680A546,344017.993407006862030507
0x08a87DBF68395E02aE215da8610FC9d2816342f3,343731.254640518890748897
0x549C0421c69Be943A2A60e76B19b4A801682cBD3,332345.556393702767869147
0x09CF915e195aF33FA7B932C253352Ae9FBdB0106,330394.762284690321789816
0x66C0C5B203f7580F8b9f9f82d27Ba8Dc840Be2AC,319407.809926177470615154
0x9eC8E8F64EC6bB47d944B4b830130B5fCf2Da182,302066.448707478225991982
0x733428F811d11940ed1168dCC57e21a5660C8F68,284125.72734981963386469
0xaDE4C5A66Ee54F53885Ec1d085b169829c7413D9,268914.458671073228480304
0x0a36260b5eD99e002166f10550AfB8F662C6C35D,259004.913561226595674282
0xaf601E39720eB9fB541F829D11a786219fE822Fb,257451.360511843135174961
0x325C8953add0FBa9deA7F65fAD6eA44774274e07,255506.0065819355991215
0xB20e7FB99C81C05FDB7e7df3669e763DaAdb663B,242577.360779040355940556
0x45C2700a0b0e84FffFfC74dbe4Ca415BC940F93d,241087.352160598875114153
0x274d9E726844AB52E351e8F1272e7fc3f58B7E5F,236229.252709536757505223
0xFF18E262d17f0bb176417d30f4c50C7d6416963d,218000.737263239913962952
0x55eEFCfE64451fA85761A21B72d758BFdd44f24A,211690.134377922560465556
0x264571c538137922c6e8aF4927C3D3F681399E50,203880.689852683521972792
0xe9017c8De5040968D9752A18d805cD2A983E558c,194827.791267819334057425
0x3bbEc29ab82DB1F0bE3F67261CC902C4e35ab70D,192584.782703967600519799
0xBc79855178842FDBA0c353494895DEEf509E26bB,176496.751099219826953162
0xECa3C88Ef0c24A8Ee89B6Fa645156dc5D748Fe82,174975.833711539449013759
0x1719a38D7b162D015f19cd7Fa1df5d36fc84fcDa,171082.217246599846018331
0xF07F2B6C340d8D303615710451C11e93fe56774D,168626.004214269344089329
0x11b67a503B3B702104EeeF69a4eA1365D0F2c658,162320.911146079463292978
0x33eeCc48943aAeabb5328A25ff28eb85F67945C2,159119.853119853125125451
0xf2283A95E246Db96d0F0fC6580ba9f431A84A491,158067.34715341323547694
0x5d4F25b080230976187e9897A4cBb4c284D7C390,156528.055212224128231661
0xBD26fbad6DC86cD3A3682bEb7241CAc4209dC4bd,154067.255641592393149484
0x2b39c6eD2A2CFE57CC862A0B51c3FBCD3f9C9E8A,153669.307953575548477896
0x92D377Ca21Cbfbc4A1cdC6a767d91950D5418ED9,151956.504336793694893015
0x3dD48AD861F0B77D1312F9C95A13e52871Ca95e0,150363.064188649737353316
0x30887fc55CbFAd3487Cb55bfE1779f6d2ba1c118,148623.627078429002583603
0xB1363975921C83F959fcE3a73f0258C5AdFceAB9,147659.355044151166943354
0x1369123c1650aD57E5C2F934407AcE6075962dA4,147639.97707762729229745
0x5398850A9399Da87624874704FEAa8A9C6C4089B,142843.820886671395400627
0x8d21e3C8993633546E89cb4A24e5c0A5BC4D97E5,140024.014838273209741186
0x38148eCC2078dA7f65E6233DDA28eFaf4C51E96F,139814.810572696727467596
0x39D787fdf7384597C7208644dBb6FDa1CcA4eBdf,130498.907664801576249611
0x4544e2Fae244eA4Ca20d075bb760561Ce5990DC3,129025.596836316318068791
0xbcCd253Ea0b906519D0F8336eA3E804d1E32bBe3,126835.318750094193355211
0x2359E4A1a1aBC120f55C6B4c88194E09aD98C9fE,124819.233029316595292705
0x16e54B35D789832440ab47aE765E6a8098280676,122803.735188573675007209
0x80B5DA500B832aE5Fca7514079375cc70ddBD20e,122097.764545757301848139
0xa02378d7fdcEdFEcfde280307a80194939BC4c4b,120821.540985819579123245
0x049397BD8325E0089DECF676EB42C134Ea65bB90,117982.670424776357615595
0xfB71f273284e52e6191B061052C298f10c2A6817,116919.55679885859665139
0x57757E3D981446D585Af0D9Ae4d7DF6D64647806,115111.054123247647438702
0x9b68DF827B723FA0d317A415c1Cefc5CE7Cf088f,114572.664149123770833381
0xaB1580ee6c593d1ae69c8E80592160bCDb9F6c97,114515.363713551668840905
0xEf5B448aBB6Df0B7390f076724f16eb930dFFB79,111959.597851542143137114
0x13FeFdD563A930F07B1aC8A2227Acc27c3C12946,111272.922134477011526985
0xEaa593aDE3570a12E9C68522BAE65278a45e41ec,107813.965325856190121596
0x3A4DA0963cdD0d05DC356B7d59e51750f82cb204,105385.227609865394621348
0x649455d5e4eefdF9381E6Af090A13b4105AbfA06,103084.162842398281605732
0x67436a2C32f8e72E9dE5BCf1B5f6FfF8172D4ad2,98257.527839695808877563
0xb08856994DD338B0DB1253DCAB0e5F56e27f3985,96329.627531908313507818
0x27d4193fe8BA4Db5a47EFf08423B42eEbD77B786,94768.205035246893249156
0x26fCbD3AFEbbE28D0A8684F790C48368D21665b5,93800.310900115737062171
0x65A0bf08ff1bf021eD8d929402371F6cfb83ab53,93652.298613501124285349
0xEd2D5029616d4E27EE6845f1368E3192cd5D0601,93346.6705978487133689
0x405a9ca3E5C07DD0dE408aCA6947D1e4F4Afd0C7,93294.476181756612710399
0x64c9677Ea9ad52263A319faaA226AA436541913F,91010.393892836826701566
0x13F2CA08112Fd5B5Df3C78C5E583D95d69900235,90451.251381802210418829
0x64AAfbd1704761488824Fe4F2538a674E9e64747,88428.505691279905578087
0x86edd0c110D1Fc7F8A5e1108623b3B1B4E3740f9,86697.469898634039599801
0xf69EA6646cf682262E84cd7c67133eac59cef07b,84658.373904695251505087
0x4B787e5F53BF90E4EC1FD4B5e4CcFf05BB1a60A9,81704.271672128384925256
0x9e2FaAae64cC1F40e9EaBd2f502811fFca2FD0eE,81638.467319777746794507
0xaDbb744a9434AAd006772CF76e79D246c4506D1B,81299.21671973094092008
0xD1ddC0F727935F376Ba6f9F51B1e0Fb481c25FB1,77742.106197473681932705
0xC43Ea5617a6b38b7560eDfB0474031a661d86BEC,77486.379209519025885334
0xCaA16004955F05599C7cF215aA271a4F3544D6d2,76063.817604521279316811
0x2BD9b535E16a1cA0959F93Ce8EE4EF08573e6A2e,75237.058765453921440844
0xCf8fcb37b7E4Af7E2F79A6ff813B4d899Ae70bDc,74102.733300847452234631
0xcA7c767854B1E7305dE07247AB85E30543d1d9c9,73368.264314195781132718
0xdE3E412d4fe3c9d90ac74d0A9B064951B39EEae4,72699.449741170109034318
0x7A8EDc710dDEAdDDB0B539DE83F3a306A621E823,72457.964809208470056012
0xcCa71809E8870AFEB72c4720d0fe50d5C3230e05,71820.942419945657610175
