address,amount
0xCEEd9585854F12F81A0103861b83b995A64AD915,784542
0x625D6405DCac9C82F4b681A131d9182115448F75,100
0x1a4A7a72779e2A03B003c614C7F528759DF55307,150
0xD60dF7F960c20dc06AcD9a3844349242071D4D57,1300
0xdA2FCA29fC213461c044ea2Bf33C23A659d64816,888309
0xE0C9DE3de0D122F41411325325D97Bf2ef09e595,333
0x51A60B3e1B451F79cF3BAB9166BB5A1a6304fD72,700
0x95982E9866dC285cE90F2C1e6E7Af9b961649f5D,126000
0x4e2C8E02661bA1bb37627Aaa7e0926c1738643f4,1086
0xeb31ddA8438ef3846fe34D3A9E18eDcbC894E4d4,106783
0xb21CD3C47e94f8C0b6D50581b71c3bDb3F7E9950,2203
0x196AB3E637219eA9D2efDEc0523006Af0C1fc8f1,2069
0x2447c20C6225Da4cdAa30179b39C1399f947F953,12088
0x9812a8416464bC3cB02ad74dD2893331bAD54F33,1683
0x738eC22eb4afe941cc0294C241A10c6EaF64344C,7115
0xC36f739e5a3fcE30129Db00F2b442D5b718806C4,378767
0x5c75d9Bb75314042206b621bf9409D52247D05EB,150
0x817d797B491b59fc1559c2c93Ae693D6C9402034,600
0x9bA1F4047403973B8361c7A6B3D789eF19FA2Fa5,230150
0x2Cb5Ae51861A4a6E8568b527cAFC3891317Ac94d,39796
0x3aC5974fD4866700ba013D4e1159Bf7E3D6d6256,600
0x59CADeFbCaa0493f0161f810ceb8B9757Ad968A4,500
0x60Ec4fd8069513F738F3A0f41b9E00C294E74bF3,26675
0x0488605275Cc230A9527e7890676c4fB8BD5D5DA,1
0x80cFfdCA4d7E05Eb25e703A183E98C7a4094EeC0,100
0x07b910299e7e74096d7091af11FA5FAA68dAd888,12788
0x4ecd98c2B816060680BA0401Be4Dc97d87E4F763,17444
0x444C8436b888A0c7a295A80d5A643439C22E2A82,499
0x62776c4859585b82e1c2Be84500e30C3e511f331,4077
0xd759fEaad7A7863f46503A2EAB403e5127887e95,300
0xE61eA580e0834365a45b3d1dcAe353b2F9771e25,10
0x20F97934db7d6F58A3F3F8eC1E7020497277A19A,3761
0x44D770eD5Fc0baf993071a1Bf18150986C89FF3f,150
0x425d8A3F3DC894d2EC4785A048178f421711e91B,200
0xCA5CE67a4CC81875F9E687c24ac81d1A6A2eE841,300
0x1F33953476FE9a33bCB984ffF29b305Ad2fdeB3F,250
0x323D67F4dA145cAaf560c18f53e1DEe374B89803,101
0x027fC636dB3cEd7342581baED6eEE79f7d1123c3,200
0xefd6F22918d2d6E8af6576743859DF107fBedB1C,711
0x81e0C8f299A1A8BB076501F581D76fb715235546,7620
0x6C168E4FDc09B0008D95CB1E72F0C75ab93Aa858,1000
0x240e719a179BA9520a00C6D3af22BBa10d8a77e9,248226
0xf74C1510363DF62567a8851137D627571df2D46E,450
0x0A58363C9caeB721d29b39106cB27bEaA95b1E39,1422
0x25D457c788a9fa924dd9B285F1A614b3Ba16092c,999
0xECf4a18469F032175020084c04B4288EeAC7E039,1350
0xDDE8f0223D7d22b8E344c026d38ef5C56d662104,12100
0x033441cD8061544E1a013723C57A4AfD2E7BAA14,26186
0x9d8C9CB7e16f1f5687D0F6e96cdcABd1f7C6c610,2
0x05fd9B340eC77a67819f9D2865D9C385EfB78F6f,333
0x214D2194A0619C7F5Aa03Ef8190986e34f32b199,780
0xbE3C2967098cb72BA828a52540a120C2CD1C5248,2578
0x8C780EC4c45e7f424e7DbF2929B29c55FA254A12,325
0xfa7c78AF92eE04961A0aB1Fb6da3C0e61f83Fa27,620
0x3F98bFf8E84516B35962C0A7673566F0d42Ea88D,14974
0x08a032033EBaC2822221a813B16a714A6eBA9B3b,170618
0x2a23CdFb9dbc0C068fEA278D8952bF2c5A8D30D1,231
0xfE0174255E410DefAaF58b06E009e0EbcD74db59,267975
0xe11eDCAB16Af2dd9e567Ea5d54dEC7bFe362847D,3080
0x809bB406235e118A77b246DDe0Ba1e4fDb73A68F,33825
0x6699f3dD98646fD43Cb7cf5012067b38A727A8cd,900
0xAF1bff74708098dB603e48aaEbEC1BBAe03Dcf11,271171
0x98dE7f87BAA7A93656a90bf2C13fE9656C933526,3189
0x7db3d080DE992B1E2d6dbb4517362C26979a2770,10000
0xB335D18843137b21DB0C9EBc23e7ED9F0D33f14D,10000
0x599474C4bD7C5Bd645b9b6eb2e4B0143efF0d738,1252
0xdfaCB147aFd5dC30988dcDe054290a60F05c61E3,3548
0x243a12D14bE62483e5DdAC94cF5DFe69862D397F,5425
0x0a04C869D4d48E3D4659260bf61CeB8df95DFAA3,1000
0x95de4510029ed17d52DB1e026e4E5969296Bb8Eb,2177
0x963C255bB4d0804b1626daCD55d87d8858868E11,17456
0x5237133625b8fEA98daE88CE6d0Fcf52C3Bd4b51,100
0x23812eD0d52C87468Ff77c11C02E146485E11e27,7500
0xCB797068B68323a9d046591009f5a715d0f17031,600
0x172AB3432ae9c2d6aC144D3dcC862dfD4572c9Da,200
0xCE61cF9F4f9Dd44B1097Ebc8eF53333CD8deED34,400
0xF4b1e1c041C22424e96AF42e34adBbAFFd1512E4,18695
0x82a830A404E940725Cf4b9AdC888f24E66FE50F4,20000
0x26d63D6E4644700653df283089Bf38F02769FCe5,33298
0x92c2f069260a131fa1c08Faa565692e0338676a0,700
0xeA75850F35Cb5A64b61ad6E3D87e5825f3dFDCBf,1200
0x61b5d62Fc80e58C8d0E6E4bE7fd492Efc3C71656,264909
0xDE985e05c4C24Aa9451F9bb53020CF9cF7dBa585,3069
0x08e39dCB146fae4782A367ce32E29DBE063B429b,13000
0x68D337100596496ed5E01f8E34160f92E9CB8B43,1250
0xd5F09B014eeC913E75dc9F66cC040C233519aD5f,920
0x660E34E8bd1c6b28DB4081C6069DbdF0B96A22fF,4660
0x6a2Ad8d914b57E5E71580F73F00Fdbfc122F6F3C,560
0x843aed5E0DEd2db7C014d6a2D44B20d6eCc614E8,477
0x877ea1EeaF846B16633cb5e7893a714D5Cb69BCe,900
0x7F2b0f1fbB152cE49F526465D54F4c5678CDe706,974
0x7e3e0497Df18E6108fC1c39361893D40b9609FD0,757190
0x051e7e222A283AEe196e2c22FAD93274c6c512aE,879
0x3C57bF5CAA0f935B08e49105189A26A5a811f716,9592
0x4fD35E225FF918Cde88e3bB71606224EFA69fbbe,1116
0xba60792C99c9B3Aa5C3b69CC68f577c2aacC3918,1489
0x53F7F1DEC0A19EfaE405BA37E812c3D76D5a9697,951
0x3994537274f3fF3eefc413E0D669b05D6446D46b,34539
0x486cF96e23ef9a7c341dEEcE9d7c3E4F70af7454,133615
0x64622E1058D418b44FEe143Ca2D4661Bc830bf07,700
0x9218bACc99DdF4368CaCef71F2f3B172680647Cb,69251
