address,amount,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8
0xfa396090B4dfD2bd86bbf6de63635d6E390b5dE1,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xe2689e394faE140069486becf07508a4b8AE2a32,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xe64b1A000b931080A73546d4ED5d742495Ce2a92,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x0b13f13c0E99F24b96A835B787D1347B33d87776,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x0dbEd2F0155c4Eee12cb79605180618c49cf50C7,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x15F574311bf3408D413a6a3bAb569b3377AC146d,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x33eeCc48943aAeabb5328A25ff28eb85F67945C2,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x34567d53dd448feA28887fb5F76F80F544570d82,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x35d4b34696cdFC6577db930c918110878e556CFd,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x383F42b5De515C564641f65f5da3BD8b4a35B4B4,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x3Ab14eb21faa494d3fEE9D8C1Bbc0B8Cc1960ef4,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x462376EC381c58197080C5241C6BFF3F34692351,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x4CeF296b64923D690f04AcA018FAC3228F2f71E8,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x50664edE715e131F584D3E7EaAbd7818Bb20A068,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x68A07Be57cD056EE3512F2b9ee70A667203d7d14,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x70134D406cB230a5e8Aa7c2Dfa929097C6e237d3,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x719d46Bf5e6Fa7bB63025e40D802DA2e3a133426,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x7Af34823B2D0402493539c50FEdf9489A84a73E4,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x8362CDBA714b8796Bec180F17bF84a5438889926,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
