address,amount
0x97B5C5aC8813BF5aAF689Bbb697B56f8d897bAEF,351192
0x8f96ab72ee30fEdDDCbEC3Eeeb85C12C691Cb79a,347506
0x967752D7306BDc079a98FcaD69A985C2B434e0A5,346924
0x90bA7a0d0a0db29A30D8B75EB7495371c09faf97,343293
0x3966E5b5535f3aa6c58C99c27a78F1dCE3227988,342229
0xbfFd0f67e2E8F9688dD8E6a3ec6f6a74ced85B37,341619
0x42b3FC1e3E9766f719344A79349B1AeC05cC129d,341603
0x9e716dcbA3165044D1717c8cA26eBeE94e8fBfC0,341155
0x9966b2c7dd5233E2b88004b15938627166434C86,340736
0xD07C1e94276795EC31f4a93eD82bf778e95De5c8,340586
0xabFf4e288C3A4bD1D622Ac7D6E199E25fb0c561F,339324
0x5893fdEc9da60596613ABE7B290423787Cf4A79c,338984
0x8366864Ccd59C240c40543149DfC11542a318002,338822
0x0Aa34EB615ab330b64060ff9Fa994E72A7A95B59,338102
0xa098702Bf910baD1c7AABB623BdA47495C4752eb,334512
0x255148be130862531729937152D82C51142A5D56,333541
0xE5F6AE79926378B5543f2881bD3E062667aFBc1C,333480
0x285860E1f828Bc2f34979B31Cc2a1A1a5E565D66,330552
0x673A827c0DF98274fa94EF194f7f9D1a8A00BBB9,329077
0x09DceA9668C4F75885666328B7089D64ebFab5e4,326660
0x350c603508524952244042AB5563a4dA4dc4488d,324183
0x33Faf9a72ca04E1528D9905873d9B0DDdAA039D9,323475
0xEDa9d5e3B264A78557C899d075a95309B60f59E6,323136
0xb71b50ed3cd27588888AB40062d11be71F19088e,321850
0xCB6f1687fb800Ab248Cf42Ab4530b81749cB024E,321611
0xaDE6Cac7445602A75AD8575B228e8F5934D537aC,321466
0x4c4Ab134AC8B35545B1b9a589027a971DC0E9368,321097
0xBFdfE0B764bFF626ECb1f746242e0ef4F230f8e1,320912
0x130CC6C031a0c4d5D71037555c88503B20A33695,320775
0x62E509caAe9a513E002D593b57fc7860803d7636,320678
0x6538bc9183bd6637E67b28ddb049A768E4ad3aB8,320613
0x8D7f598347e1D526e02E51e663BA837393068e6e,319542
0x14D396Ba2e45c249f9f244bf7d1b0bBBD7C66e11,318510
0xcfe48D201C7F98c4c548e05fACE458195afC3f45,317555
0xA417444DD2b722460F73e9FcA4ACe96A4B52e22e,316538
0x7FA6E5f1d1F830524F7201Ac3BA85bEB05d014E3,316143
0x26499D961876E567bB0ab4c02876dE6d70D178AA,315759
0xf29369b21cA2f5F9b8183b93D18B7Aaa78966BB1,315751
0xD9e10135beE11A553A4d947EfAbCb56892b1eE1C,315203
0x87c3ED15FB6bdbf91405d6401Bcb167A1aEaBB6b,315112
0x4888c0030b743c17C89A8AF875155cf75dCfd1E1,312961
0x1C3512E08C1b18BfD41311A06b0977A3F8259140,311697
0x7DE937b260515F2985748E2c6EE9C20A747BadC4,311619
0xC650FFF4F69e10307B10FfBB4E63Fe76a4e0Ae95,310974
0x08E0a3E752D1338c0F02b986B9504f1009a962ca,310845
0x0c9E725902f2eeEC063c16d253F38684E3192001,309158
0xC2547446c439bE477DCe96702FB1F9Dfb61baB3a,308752
0x9dA6B5aD2fc347D4bf0a6E21bc69B7F5987A9153,308716
0x830540B0750350b0e17c377c1Cc56b19b7AF4885,308157
0xFe36d0618a4e8F1ffAD92E1FbbC68FD5fBA09aE6,307979
0x0Cfe3137c4aE5842bEeA4acddfB610721b2A3A5f,307247
0x9fa1cc9E482f3759b1e4cD2d8bd750546413166d,306835
0x7f16576160227cd97101048a9fa7B257378C8741,305737
0xD65e38681685cb569920CaF28725bD3dB5Eed089,304532
0x2F0C4fA1cDc9AC0CF1766D4306B58f6FE1248237,304321
0x2c9550F20eC955F06B5caf6Fba7ca3be00B7D987,303560
0xE3f96Cb5Ae6353Ed964f12c3841f50C8453DF33b,303347
0x79Ceb914e9E59fe581A73108aE2e2105940f3A45,302160
0x6C1F839C9cBdCb93B8c5B98CaB23D089ecd83b7F,301728
0x7827b0C8e315a23E407E54bb903EA9cA37039e55,301664
0x055878A1B710e9F0047e7e588E1e8D907515313e,301564
0xEd08E483557bd0955FE5FdebE464293a961eDaaE,300900
0x1747A61Bf11379D94a48736A4fB236a0D9E6fF32,300340
0x6cab4a8284939Fa0b98D50276789a8b858a208dB,300275
0x5125B1989E54389Ef98C0e9FBDBc581C9Aece8Fe,299909
0xdCC8f181295cFCD9Ce83f8bE87Cb16902C2e1aEf,299214
0xA02516F51B8eaE2d40A52e28ef1E63b9707FE9e5,298006
0x0045CB2b22bc2615A09a90bDA866fF272c893906,297763
0x9a064a0eF88393662DE416a59FA4CBe9f4900Fc8,297126
0x13D81672f682C2dA77AB49ba02820ac43385Ff71,296183
0xcB8a633c0c58cFEeE1136599eDB47f0e68a1b2B1,295765
0x6476abC923baf6f8252Eb73980CeD43Ea35e85A8,294722
0x105D583851D1288226dc767fB8D3f5b6a367fC9F,294549
0x8C82E506F39AeeE8F8852b4f1a9F2410F72185E9,293688
0x1D2E44dede73dcF080104eC0839A70DA14641762,293494
0x2E5e1d7d74D17c5AB0376ca1D99cBc5619607672,293233
0x9B327cd5c79b58bD64388a742aDc9489DC7F2DBB,292782
0x24FBaDCCd6684106E24065694aC87B0e98819235,292099
0x847e9Ce3516cB8d320D37e4Bd99FcaE851acdD23,291790
0x7D18c8FEE53b394297f4545261343bD5EB847B88,290016
0xae5d0cEe466d0327b3d6593FDC1572095B8b0De9,289412
0xe8CD832A067869379f3175197E8fA9CE04A82D70,288226
0x15A33852846b4762D71A62928aa7c64D8AAc8544,287304
0xdca4a67D4E7E1BdFE9144018E1b419d92D666b7d,287259
0x84EEb7dB3f93feb5A8A98F56Dabb970A6797c187,286048
0x24255d06CfB9dbaE774f9fB8697f7850f1d8a5f1,285982
0x5b3CEc6A5e219674d4485Be572cD3faAE338Bfc6,285940
0xA18d1BF832c6b973476a0a8Deaf840CCe004F4fC,285522
0xcF53b4b414673Dd28b44068384b0Dd7Ad72617d1,285042
0x4bF88042De0220647ACb314AF3c5F310AEc3bCc0,284234
0x7Fc53dfFF734D7cB9f533154344e4d569A34F8E8,283887
